"state","total_insurance_transactions","total_insurance_amount"
"karnataka","1957404","2743154847"
"maharashtra","1815539","2363128536"
"uttar-pradesh","1139153","1740346495"
"tamil-nadu","1215269","1555507253"
"kerala","824235","1313718507"
"telangana","894342","1171059515"
"west-bengal","839715","1052463239"
"rajasthan","639684","959653860"
"haryana","573738","830981227"
"delhi","652514","815365172"
"andhra-pradesh","697769","812222985"
"gujarat","562595","729233441"
"madhya-pradesh","487180","711153467"
"bihar","536592","671056815"
"odisha","318769","416559238"
"assam","262818","411831038"
"jharkhand","260827","348671355"
"punjab","180011","313085772"
"chhattisgarh","189517","274344886"
"uttarakhand","124374","200706613"
"jammu-&-kashmir","78375","153923112"
"himachal-pradesh","61790","117289072"
"goa","59872","83730005"
"puducherry","27940","37120853"
"tripura","25192","33742456"
"chandigarh","22079","33285885"
"arunachal-pradesh","10214","23420755"
"meghalaya","10461","20357362"
"andaman-&-nicobar-islands","12997","19386792"
"dadra-&-nagar-haveli-&-daman-&-diu","13792","17992414"
"sikkim","4896","10883384"
"nagaland","4745","9156617"
"ladakh","3338","7808333"
"manipur","3731","7150454"
"mizoram","3724","5462592"
"lakshadweep","496","624037"
