"state","district","total_insurance_transactions","total_insurance_amount"
"karnataka","bengaluru urban district","1117691","1491957727.0"
"maharashtra","pune district","396173","534030810.0"
"maharashtra","thane district","260578","304070981.0"
"telangana","rangareddy district","206714","297358756.0"
"tamil-nadu","chennai district","251081","272805547.0"
"rajasthan","jaipur district","177296","245957468.0"
"telangana","medchal malkajgiri district","178028","241346337.0"
"maharashtra","mumbai suburban district","211311","236599457.0"
"kerala","ernakulam district","146403","224516235.0"
"haryana","gurugram district","168368","214086124.0"
